视频时长,视频数量
116899,1
63182,1
63116,1
3540.223333,2
2685,2
1420,3
994,2
802,1
600,2
593,7
379,4
302.208,1
278,4
273.459,4
246.313333,3
246,1
244,4
243.64,4
243.6399994,6
227,4
225.8256,3
218,1
217.208333,3
212.5266724,1
206,4
205.525333,3
205.48,2
204,1
196.24,5
196,1
193,1
185,1
184,1
183.6950073,2
183,1
182,4
181,2
180.9850159,1
180.9600067,1
180.7666626,1
180.7266693,2
180.726667,1
180.6000061,1
180.566667,1
180.4933319,1
180.4667,1
180.1667,1
180.1666718,1
180.1333313,2
180.1000061,2
180.0667,1
180.066667,8
180.0666656,23
180.0633392,3
180.0478973,1
180.0383453,1
180.0333405,3
180.0200195,1
180.0200043,1
180.0068665,1
180,28
179.9950562,1
179.9866638,1
179.9733276,1
179.6666718,1
179.6533356,2
179.5200043,1
179,2
177,2
176.7899933,1
175.8666687,1
175.0333405,1
175,2
173.06,1
173,1
169.9,1
168.0650024,1
166.634667,1
166,1
161.8333282,1
161.6666718,1
161,1
159,1
157.8667,1
153.359,3
144.9333344,1
142.8398438,1
140,1
135.573,2
131.668335,1
121,2
120.6800003,1
120.666667,1
120.6666641,3
120.3880081,1
120.1864853,1
120.155,5
117.162667,1
115.5999985,1
107.157333,1
107.12,9
105.92,1
104.2333298,1
104,1
102,1
100,1
96.23999786,1
93.19999695,1
90.28691864,1
90,3
89,1
86,1
85.66666412,1
85.44,1
82,2
81.36127,1
81,2
80.43333435,1
78,3
77.09999847,1
75.20079,1
73.43333435,1
73,1
72.566667,2
72.56666565,3
72.536,3
69.76,4
67.748,1
67,4
65.57501221,2
64,1
63.232,1
63.11308289,1
63.09999847,2
63.04666519,1
63,2
62,3
61.13333511,1
61.03333282,1
61,3
60.89501,1
60.65333,1
60,6
59,1
58,2
55.79999924,1
55.06666565,1
51,1
50,1
48.96666718,3
48.23333359,1
47.9,1
47.26567078,1
46.96666718,1
46.546547,1
45,1
44.672,1
43.93333435,1
43.86501312,1
43,1
42.5997963,1
41.83667,1
40.3,1
39.06666667,1
39,3
38.04333496,1
37,4
36.5933342,1
36.19102097,1
36,1
35.20000076,2
35,3
34,1
33.966667,1
33.92503357,1
33,1
32.99126816,1
32.96508,1
32,1
